Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Darius Muasau,UCLA,ILB,71.88,225,9.5,31.5,NA,4.7,NA,36.5,117,4.41,7.23,NA,4428072
2024,Byron Murphy,Texas,DT,72.5,306,10.25,32.38,NA,4.87,28,33,111,4.5,7.5,NA,4038999
2024,Gabriel Murphy,UCLA,OLB,74.38,247,9.25,30.5,NA,4.68,25,39.5,123,4.31,7.11,NA,4428080
2024,Myles Murphy,North Carolina,DT,76.13,309,9.75,33.88,NA,5.2,20,28.5,106,4.81,NA,NA,NA
2024,Malik Mustapha,Wake Forest,SS,70.13,209,9,30.13,NA,4.54,22,41.5,126,NA,NA,NA,4696211
2024,Malik Nabers,Louisiana State,WR,71.75,200,9.88,31.38,NA,4.41,15,42,129,NA,NA,NA,4595348
2024,JerZhan Newton,Illinois,DT,73.63,304,9.5,32.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Josh Newton,Texas Christian,CB,70.63,190,9.25,31.13,NA,4.51,15,34,124,4.15,7.01,NA,4365319
2024,Bo Nix,Oregon,QB,74.13,214,10.13,30.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Maema Njongmeta,Wisconsin,ILB,71.75,229,9.38,32.13,NA,4.91,15,34.5,116,4.66,7.32,NA,4428125
2024,Hunter Nourzad,Penn State,C,75.13,317,10.75,33.13,NA,NA,27,NA,NA,NA,NA,NA,NA
2024,Tyler Nubin,Minnesota,FS,73.25,205,9,32,NA,4.62,10,31.5,120,4.51,7.2,NA,4430261
2024,Drake Nugent,Michigan,C,73.5,298,9,33,NA,5.23,25,29.5,101,4.5,7.33,NA,4428144
2024,Rome Odunze,Washington,WR,74.88,212,9.25,32.25,NA,4.45,NA,39,124,4.03,6.88,NA,4431299
2024,Eyabi Okie-Anoma,North Carolina Charlotte,DE,76.5,260,9.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Kitan Oladapo,Oregon State,SS,74,216,9.25,32.38,NA,4.58,15,36,117,NA,NA,NA,4374037
2024,Ruke Orhorhoro,Clemson,DT,76,294,9.38,34,NA,4.89,29,32,116,4.5,7.39,NA,4430271
2024,Tyler Owens,Texas Tech,SS,74.38,216,9.13,33.38,NA,NA,NA,41,146,NA,NA,NA,4572460
2024,Patrick Paul,Houston,OT,79.5,331,9.38,36.25,NA,5.13,30,29,NA,4.71,7.65,NA,NA
2024,Julian Pearl,Illinois,OT,78,312,10.25,35.13,NA,NA,NA,NA,NA,NA,NA,NA,4360391
2024,Ricky Pearsall,Florida,WR,73,189,9.25,30.88,NA,4.41,17,42,129,4.05,6.64,NA,4428209
2024,Michael Penix,Washington,QB,74.25,216,10.5,33.63,NA,4.58,NA,36.5,125,NA,NA,NA,NA
